0,1,2
湿疹,排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,0
大脑,孕妇 痔疮 妊娠 子宫体 静脉 直肠 肛管 静脉 充血 扩张 痔疮 中医 中药 肛门,0
症状 盗汗 虚汗 头晕 耳鸣 黑芝麻 药物 口服 六味地黄丸,传染期 恢复,0
发烧 病因 肺炎 传染病 发烧 症状 病毒 感染 发热 发烧,胎儿 胎位 面先露 骨盆 枕骨 骨盆 胎位 胎位,0
骨折 骨折 畸形 愈合 手术 矫正 医院 骨折 骨折 愈合 手术 矫正,羊水 胎儿 缺氧 胎儿 缺氧,0
银杏叶片 医院 颈椎 CT 检查 治疗,排卵 月经 卵子 卵巢 受精 精子 受精 卵子 排卵 排卵,0
疼痛 肩周炎 乳腺 疾病 症状 乳房,便秘,0
阳痿 早泄 中医 治疗 右归丸 金锁固精丸 治疗 肾脏,剖宫产 分娩 胎儿 窒息,0
痔疮 出血 痔疮 治疗 消化 肛管 痔疮栓 痔疮膏 注射 治疗 治疗 治疗 手术 治疗 肛门 意识 肛门 括约肌,痔疮 症状 疼痛 肛门 肿物 出血 肛门 瘙痒 检查 治疗,1
毛囊炎 皮脂腺 感染 口服 抗生素,毛囊炎 皮脂腺 感染 口服 抗生素,1
排卵 月经 排卵 排卵 怀孕,痔疮 手术 肛门 瘙痒 临床 肛门 湿疹 肛门 湿疹,0
胎儿 胎儿 胎位,尿频 尿常规 慢性 前列腺炎 医院 泌尿 外科 化验 细菌 治疗,0
红斑狼疮 慢性 复发 治愈 中药 治疗 激素 预防 感染 激素 复发 缓解 体质 康复,红斑狼疮 慢性 复发 治愈 中药 治疗 激素 预防 感染 激素 复发 缓解 体质 康复,1
发热 医院 中医 口服 知柏地黄丸,呼吸,0
便秘 胎儿 晚期 妊娠 胎儿 乙状结肠 便秘,体质 体内,0
扭伤 恢复 膝关节 部位 接触 检查 膝关节 部位 中药 治疗,鼻腔 鼻腔 鼻涕 鼻腔 鼻涕 婴儿 鼻涕 口腔,0
痔疮 排便 预防 便秘,精神 治疗,0
婴儿,病变 体质 医院 神经 内科 检查 诊断 治疗,0
怀孕 月经 月经 怀孕 流产 手术 医院 妇产科 流产 手术,产后 怀孕 怀孕 手术,1
痔疮 治疗 消化 肛管 痔疮栓 痔疮膏 注射 治疗 治疗 治疗 手术 治疗,肛裂 痔疮 痔疮 肛肠科 症状 手术 治疗,1
痔疮 治疗 排便 消化 肛管 痔疮膏 痔疮栓 手术 治疗,肛裂 痔疮 症状 排便 排便 疼痛 肛裂 肛裂 缓解 症状 肛裂 伤口 愈合 肛裂,1
新生儿,失眠 抑郁症,0
银杏叶片 医院 颈椎 CT 检查 治疗,高危 羊水 羊水,0
月经 怀孕 检查 怀孕 检测 怀孕 B超,检查 怀孕 医院 妇科 B超 检查 治疗,1
怀孕 月经 临床 内分泌 月经 子宫内膜炎 子宫内膜 病变 月经 治疗 月经 检查 B超 性激素 病因 治疗 调经 中药,怀孕 月经 精神 内分泌 失调 激素 医院 检查 注射 黄体酮 补血 逍遥丸 乌鸡白凤丸 月经,1
怀孕 月经 检查 早孕 月经 精神 妇科 炎症 内分泌 紊乱 月经 医院 激素 治疗,呼吸,0
伤口 愈合 纱布 手术 损伤,血压 低压 高压,0
治疗 患者 医院 治疗 疾病 治疗 治疗,便秘 胎儿 晚期 妊娠 胎儿 乙状结肠 便秘,0
怀孕,混合痔 病变 便秘 直肠 肛管 脱垂 糜烂 慢性 出血 贫血 赘生物 医院 肛肠科 检查 痔疮 治疗,0
月经 胎儿 发育 胎儿,痔疮 肛裂 内痔 肛裂 外痔 痔疮 肛裂 湿润烧伤膏 医院 治疗,0
症状 手术 治疗,高危 羊水 羊水,0
医院 检查 疾病 心脏 部位 心律 心脏 心电图 心脏 疾病 CT 病因 治疗,粘膜 皮肤,0
痤疮 红斑 丘疹 疾病,补中益气丸 营养,0
鼻腔 鼻腔 鼻涕 鼻腔 鼻涕 婴儿 鼻涕 口腔,腰椎 治疗 临床 治愈 腰椎 治疗 部位 药物 腰椎 脊柱 椎间盘 复位 复发,0
缓解,月经 月经 排卵,0
中医,尿道 炎症 淋病 排尿 医院 化验 细菌 治疗 口服 诺氟沙星,0
便秘,双顶径 腹围 胎儿 发育 胎儿 发育,0
胎儿 检查 胎儿,踝关节 骨折 愈合,0
孕妇 胎儿 胎儿 窒息,结膜炎 医院 检查 治疗,0
羊水 检查,肺癌 神经 疼痛 麻木 血管 出血 药物 治疗,0
人体 骨骼 发育 下肢 长骨 身高 长骨 软骨细胞 人体 骨骼 紫外线 体内 吸收 骨骼 睡眠,感冒,0
痔疮 治疗 消化 肛管 痔疮栓 痔疮膏,精神,0
生理盐水 治疗 湿疹 药物 治疗 皮肤 卫生,胎儿,0
营养 体重,良性 病变 良性肿瘤 病变,0
鸡胸 胸骨 畸形 发病率 畸形 肋骨 肋软骨 畸形 肋骨 畸形 后遗症 治疗 支具 矫正 畸形,皮疹 痤疮,0
排卵 月经 排卵 排卵 怀孕,怀孕 月经 月经 排卵 排卵 月经 月经 怀孕,1
咳嗽 感冒 炎症 感冒 炎症 治疗,腋窝 腹股沟 大动脉 皮肤 人体 肌肉,0
感冒 咳嗽痰多 治疗,接触,0
腰肌劳损 检查 治疗,晚孕,0
孕妇 感冒 喷嚏 流涕 咳嗽 症状,精神,0
疫苗,中药 当归 莲须 仙灵脾 菟丝子 杜仲 金樱子 刺猬皮 牛膝 治疗 中药 肾脏 康复,0
胎儿 发育 感冒 胎儿 发育 怀孕 胎儿,复方阿胶浆 黑豆,0
保健 激素 抑制 肠胃 细胞 蛋白质 恢复 生理 体内 脂肪,疫苗,0
中医,症状 口干 口臭 中药 治疗 栀子 黄芩 连翘 木通,0
痔疮 肛裂 内痔 肛裂 外痔 痔疮 肛裂 湿润烧伤膏 医院 治疗,便血 肛裂 痔疮 痔疮 肛肠科 症状 手术 治疗,1
神经 失调 治疗 中医 治疗 首乌,精液 精子 器官 前列腺 精子 精子 精液 精子 精液 精液 精液 精液 精液 受精 精液 精液 精子,0
致病菌 葡萄球菌 金黄色葡萄球菌 急性 炎症 急性 炎症 临床 化脓 口服 抗生素 药物 热敷,月经 月经 排卵,0
痔疮 肛裂 痔疮 痔疮膏 槐角丸 治疗,呼吸,0
口干 阴虚 六味地黄丸 小建中汤 金匮肾气丸 检查 糖尿病 打鼾 疾病 呼吸 鼻炎,高危 羊水 羊水,0
身高 遗传 营养 下肢 肌肉 骨骼 营养 吸收 骨骼,便秘,0
口服 赛庚啶 炉甘石洗剂 药物 治疗 患者,怀孕,0
感染 疾病,排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,0
症状 盗汗 睡眠 检查 治疗 吸收,颈椎病 医院 颈椎,0
贫血 厌食 恶心 头晕 乏力 检查 血常规 红细胞 血红蛋白 口服,中药,0
便秘 胎儿 晚期 妊娠 胎儿 乙状结肠 便秘,疾病 疾病 患者 免疫力 营养 机能 治疗 白癜风 治疗 治疗 患者 治疗,0
怀孕 怀孕 月经 受精,症状 口干 口臭 中药 治疗 栀子 黄芩 连翘 木通,0
晚孕,临床 髋关节 疼痛 疼痛 钝痛 腹股沟 大腿 放射 阳性 阳性 外展 畸形 临床 检查 临床 治疗 手术 人工股骨头置换术 治疗 中医 临床 健脾,0
腰椎 治疗 临床 治愈 腰椎 治疗 部位 药物 腰椎 脊柱 椎间盘 复位 复发,艾滋病 发烧 流涕 咳嗽 咽喉痛 医院 检测 病毒 消炎,0
医院 流产 孕囊 孕妇 流产 检查 妇科 怀孕,怀孕 月经 医院 检查 怀孕 早孕 医院 检查 检查 治疗,1
胎儿,荨麻疹 皮肤 粘膜 扩张 水肿 皮肤病 接触 脱敏 治疗,0
体内 激素 分泌,腹泻 病因 检查 病变,0
高血压 糖尿病 动脉硬化,卫生,0
扁桃体 炎症 呼吸道 病毒 感染 疱疹 感染 药物 感染 治疗 喷雾 疱疹 消退 口服液 药物 疱疹,肾功能 发育,0
血压 低压 高压,症状 腰椎 疾病 腰椎 疾病 神经 坐骨神经痛 症状,0
排卵 月经 卵子 受精 精子 卵子 排卵 月经 怀孕,医院,0
怀孕,肾结石 医院 检查 诊断 治疗,0
鼻腔 鼻腔 鼻涕 鼻腔 鼻涕 婴儿 鼻涕 口腔,疾病 发育 整形科,0
痔疮 痔疮 治疗 口服 左氧氟沙星 甲硝唑 槐角丸 手术 治疗 卫生,痔疮 马应龙痔疮膏 手术 治疗,1
血压 高压 低压,痔疮 手术 治疗 治疗 根治 痔疮膏 痔疮栓 症状 手术 根治,0
症状,营养 营养 营养,0
精液,腰椎 患者 疼痛 下肢 疼痛 患者 症状 疼痛 部位,0
高血压 治疗 口服 治疗 口服 硝苯地平缓释片 依那普利 治疗,晚孕,0
下肢 水肿 病因 心脏 肾脏 下肢 下肢 水肿 医院 检查 肾功能 下肢 血管 治疗,感冒,0
痔疮 药物 治疗 肛门 肛门 药物 治疗,痔疮 传染 痔疮 肛门 异物 疼痛 出血 症状 痔疮 医院 肛肠科 槐角丸 三七 口服 中药 痔疮膏 治疗,1
卫生,心功能不全 临床 症状 心功能不全 心衰 心衰 临床 检查 超声心动图 心脏 舒张 临床 症状 心功能不全 心衰 心衰 临床 症状 心功能不全,0
阴道 激素 分泌 药物 分泌 分泌 分泌 阴道 阴道 妇科 炎症 内分泌 失调 阴道 病理 病因 治疗,内分泌 失调 避孕药 妇科 炎症 医院 检查 内分泌 尿常规 阴道 宫颈刮片 病因 治疗 体质,1
粘膜 皮肤,心脏 手术 心衰 射血分数 临床 症状 治疗 口服 预防 心室 医院 治疗 心脏,0
骨盆,皮炎 感染 酮康唑 氟康唑 胶囊 卫生 卫生,0
妊娠 治疗 胎儿 发育 流产 早产 胎儿 妊娠期 剂量 药物 胎儿 胎儿 新生儿 新生儿 治疗 疾病 怀孕,胎儿 发育 检查 胎儿 发育 脉络 脉络膜 胎儿 妊娠 治疗 预防,1
感冒,五心烦热 盗汗 症状 发热 阴虚 症状 肝开窍于目 滋补肝肾 治疗 子代,0
排便 肛门 排泄 心脑血管 机能 便秘 肌肉 痔疮 防治 大腿 肛门 呼气,疫苗,0
大脑,怀孕 体外 射精 怀孕 阴茎 阴道 精液 阴道 射精 射精 阴茎 阴道 精液 阴道 精液 精子 怀孕,0
医院 怀孕 月经 早孕 怀孕 早孕,医院 流产 孕囊 孕妇 流产 检查 妇科 怀孕,1
怀孕 月经 月经 排卵 排卵 月经 月经 怀孕,脂肪组织 疾病 医院 外科 检查 治疗 脂肪 治疗,0
排卵 月经 排卵 排卵 怀孕,患者,0
包皮 包皮 部位 淋巴组织 恢复 卫生 水肿,中药 咳嗽 支气管炎 支气管 肺炎 中药 治疗,0
错位 骨折 手术 治疗 治疗 恢复 关节 热敷 理疗 康复 治疗 关节 恢复 关节,怀孕,0
腰椎 理疗 手术 治疗 治疗,便秘 胎儿 晚期 妊娠 胎儿 乙状结肠 便秘,0
怀孕,痔疮 直肠 肛管 静脉丛 淤血 静脉丛 扩张 静脉 治疗 马应龙痔疮膏 治疗 维生素,0
化验 甲状腺 腹泻,骨折,0
头痛 疼痛 症状 临床 症状 头痛 睡眠 睡眠 疾病 头痛 恢复 头痛 病因 治疗,营养,0
痔疮 便秘 康复 药物 手术 治疗,痔疮 遗传性 痔疮 出血 出血 出血 便秘 出血 诱因 脱出 脱出 肛门 肛门 痔疮 手术 缓解 便秘 痔疮 手术,1
脾胃湿热 胃胀 呕吐 不适 症状 药物 根治 中医 中药 临床 治疗 中药 栀子 当归 砂仁 厚朴 三棱 穿山甲 麦芽 蜂胶 治疗 根治 药物 脾胃湿热 粘膜 治愈 复发,疫苗,0
糖尿病 空腹 血糖 临床 糖尿病 空腹 血糖 诊断 血糖 血糖 糖尿病 糖尿病 医院 血糖 诊断,空腹 血糖 监测 空腹 血糖 正常值 妊娠 糖尿病 尿糖 检测 血糖 糖尿病 空腹 血糖 尿糖,1
痔疮 肛门 直肠 肛门 粘膜 静脉丛 曲张 慢性 疾病 痔疮 症状 便血 疼痛 脱出 肛门 瘙痒 不适 便秘 手术 治疗 栓塞 激光,外痔 内痔 脱出 粘膜 脱出 便血 医院 肛门,1
睡眠 营养 消化,发烧 病因 临床 感染性 感染性 感冒 病因 发热 病因 病因 体温 惊厥 体温 药物,0
风湿性关节炎 急性 慢性 结缔组织 炎症 发作 心脏 临床 关节 肌肉 疼痛 风湿热 急性 发热 关节 疼痛 起病 矫形 手术 关节 滑膜 手术 治愈 疾病 关节,便秘,0
便血 肛裂 开塞露 肛裂,中医,0
手足口病 营养 疲劳 抵抗力 治疗 口服 抗病毒口服液 维生素 消炎 止痛,月经 月经 排卵,0
月经 怀孕 检查 怀孕 检测 怀孕 B超,月经 月经 怀孕 医院 检查 B超 检查 月经,1
痔疮 直肠 静脉丛 淤血 症状 便血 疼痛 肛门 治疗 口服 左氧氟沙星 甲硝唑 槐角丸 手术 治疗 手术 治疗 复发,人体 直肠 粘膜 肛管 皮肤 静脉丛 扩张 痔疮 医学 痔疮 内痔 外痔 混合痔 肛门 直肠 肛门 粘膜 静脉丛 曲张 慢性 疾病 治疗 痔疮 患者 药物 治疗 痔疮 药物 疼痛 痔疮 患者 治疗 药物 患者,1
中医 盗汗 治疗 治疗 药物 治疗 阴虚 阴虚 病人 汗腺 分泌 恢复,流感疫苗 免疫力,0
营养 体重,痔疮 肛门 卫生 药物,0
症状 心脏 症状 心电图 检测 心电图 治疗,脾虚 失调,0
便血 肛裂 痔疮 痔疮 肛肠科 症状 手术 治疗,精神,0
脾大 感染性 脾大 脾大 脾脏 皮肌炎 结节性多动脉炎 脾脏 病因,晚孕,0
空腹 血糖,精神 治疗,0
脾虚 失调,晚期 症状,0
月经 避孕 药物 避孕 怀孕 月经 排卵,病理,0
口服 黄连上清丸 治疗,B超 胎儿 体重 胎儿 体重 胎儿 体重 B超,0
腰肌劳损 检查 治疗,羊水 胎儿 缺氧 胎儿 缺氧,0
阴道炎 阴道炎 妇科 疾病 症状 白带 阴道 瘙痒 洗液 阴道 抑制 念珠菌 治疗,血压 高压 低压,0
痔疮 症状 肛门 痔疮膏 缓解 痔疮 防治,痔疮 治疗 消化 肛管 痔疮栓 痔疮膏 注射 治疗 治疗 治疗 手术 治疗,1
血糖 空腹 血糖 正常值 血糖,梅毒 感染 疾病 器官 症状 体征 梅毒 疾病 传染 梅毒 病人 感染 胎盘 传染 先天梅毒,0
晚孕,感染 心脏 疾病 医院 内科 检查 诊断 治疗 呼吸道 感染 咳嗽 口服 罗红霉素 必嗽平 甘草片 治疗 治疗,0
中药 降压 血压 中药 低盐饮食 脂肪 治疗 降压 波依定 硝苯地平缓释片 口服 血压 降压 治疗 治疗,高危 羊水 羊水,0
颈椎 神经根 治疗 检查 诊断 中医 推拿 理疗 针灸 热敷 治疗,腰痛 不适 检查 椎间盘 营养 活血化瘀 药物 按摩 理疗,1
消炎 药物 治疗 治疗,消炎 药物,1
混合痔 混合痔 脱出 药物 治疗 缓解 医院 手术 治疗,痔疮 药物 治疗 缓解 痔疮 症状 治愈 手术 治疗 治疗 恢复,1
骨折,阴道炎 阴道 粘膜 感染 霉菌 白带 白带 外阴 瘙痒 症状 阴道炎 治疗 根治 复发 阴道炎 复发 白带 白带 卫生 卫生,0
患者 感染 肛门 部位 不适 疼痛 症状 出血 感染 肛门 瘘管 脓肿 并发症 痔疮 医院 内痔 外痔 混合痔 症状 患者 病因 治疗 痔疮 医院,痔疮 出血 痔疮 治疗 消化 肛管 痔疮栓 痔疮膏 注射 治疗 治疗 治疗 手术 治疗 肛门 意识 肛门 括约肌,1
胎儿,阴道炎 检查 白带 病因 治疗 阴道炎 药物 治疗 传染 疾病 治疗,0
便秘,腰椎 坐骨神经 麻木 症状 医院 骨外科 手术 治疗,0
高血压 糖尿病 动脉硬化,烧伤 后遗症 皮肤 治疗 皮肤 卫生 口服 激光 治疗,0
感冒,痔疮 出血 痔疮 治疗 消化 肛管 痔疮栓 痔疮膏 注射 治疗 治疗 治疗 手术 治疗 肛门 意识 肛门 括约肌,0
四肢 麻木 血管 硬化 恢复,皮疹 痤疮,0
冰黄肤乐软膏 复方 苦参 水杨酸 药膏,高危 羊水 羊水,0
洗液 外阴 卫生 外阴,症状 颈椎病,0
疾病 发育 整形科,怀孕 感冒,0
发烧,医院 检查 妇科 疾病 乳腺 疾病,0
高危 羊水 羊水,肩周炎 肩周炎 治疗 按摩 理疗 治疗 营养 缓解 肌肉 挛缩 缓解 不适 症状,0
坐骨神经痛 坐骨神经 病变 坐骨神经 外伤 腰椎 检查 腰椎,羊水 胎儿 缺氧 胎儿 缺氧,0
新生儿,精神 艾滋病 医院 检查 艾滋病 治疗,0
痔疮 治疗 排便 消化 肛管 痔疮膏 痔疮栓 手术 治疗,便血 便血 治疗 痔疮 肛裂 痔疮 肛裂 溃疡性结肠炎 直肠 息肉 便血 痔疮 肛裂 便血 血液 肛肠 医院 检查 治疗,1
血糖 诊断 妊娠期 糖尿病 空腹 血糖 血糖 血糖 化验 血糖 空腹 血糖,中医,0
恢复 子宫内膜 卵巢 排卵 恢复 月经 流产 月经 出血 出血 治疗 医院 检查 怀孕 受精卵 恢复 子宫 流产 流产 治疗 怀孕 避孕 怀孕,怀孕 流产 一次性 药物 流产 流产 手术 药物 流产 医院 检查 怀孕 孕囊,1
晚孕,检查 骨折 部位 骨痂 愈合 骨折 愈合 骨痂,0
月经 乳房 乳房 怀孕 乳头 色素沉着 怀孕 怀孕 乳房 乳头 疼痛 怀孕,感冒,0
发烧 临床 体温 酸痛 发烧 感冒 发烧 疾病 医院 发烧 症状 发烧 疾病,白扁豆,0
遗传性 脱发 治疗 四君子汤 中药 中药 蔓荆子 川芎 白芷 细辛,外科,0
皮肤 发热 疫苗,阳痿 早泄 中医 治疗 右归丸 金锁固精丸 治疗 肾脏,0
咳嗽 疫苗,中医 阴虚内热证 中医 治疗,0
白癜风 治疗 白癜风 医院 检查 医院 治疗 检测 病因 病因 治疗 医院 治疗 治疗 治疗 患者 白癜风 治疗 白癜风 治疗 白癜风 白癜风 医疗 检测 黑色素 诱因 部位 黑色素 治疗,白癜风 治疗 白癜风 医院 检查 医院 治疗 检测 病因 病因 治疗 医院 治疗 治疗 治疗 患者 白癜风 治疗 白癜风 治疗 白癜风 白癜风 医疗 检测 黑色素 诱因 部位 黑色素 治疗,1
孕妇 胎儿 胎儿 窒息,症状 医院 治疗 康复 患者 诊疗 医院,0
混合痔 肛裂 混合痔 复发 出血 混合痔 手术 治疗 排便 药物 预防 感染,混合痔 直肠 检查 手术 痔疮栓 治疗,1
腰椎 治疗 治疗 腰椎 椎间盘,坐骨神经痛 坐骨神经 病变 坐骨神经 外伤 腰椎 检查 腰椎,1
治疗,怀孕 孕妇 胎儿 孕妇 贫血 胎儿 贫血 胎儿 早产 缺氧 贫血 感染,0
怀孕,发作 肌肉 肢体 发作 发作 意识 医院 患者 患者 患者 医院,0
胎儿 胎儿 胎位,心脾两虚 缓解 不适 症状,0
尿道 炎症 淋病 排尿 医院 化验 细菌 治疗 口服 诺氟沙星,晚孕,0
胎盘 胎儿,结膜炎 中医 治疗 口服 杞菊地黄丸 治疗,0
消炎 药物 治疗 治疗,胎儿 胎儿 胎位,0
接触,B超 胎儿 体重 胎儿 体重 胎儿 体重 B超,0
肺实变 肋骨 骨折 肺实变 治疗 治疗,精液,0
脾虚 失调,怀孕 怀孕 胎儿 发育 B超 检查 胎儿 检查,0
产后 月经 月经 失调,巨细胞病毒 感染 黄疸 损害 巨细胞病毒 阳性 感染,0
血脂 药物 高脂血症,发育 发育 器官 发育 双顶径 腹围 股骨 双顶径 腹围 股骨 怀孕 发育 发育,0
川芎 当归 细辛 蜈蚣 白芷 防风 丹参 黄芪 三七 炙甘草,B超 检查 胎儿,0
检查 胎儿 发育 孕妇 出血 妊娠,接触 怀孕 胎儿 发育 出血 怀孕,1
阳痿 早泄 中医 治疗 右归丸 金锁固精丸 治疗 肾脏,感冒 抵抗力,0
怀孕,足癣 症状 水疱 脱皮 皮肤 糜烂 皮肤 开裂 感染 化脓 红肿 疼痛 康复 传染 手癣 真菌 甲癣 手足癣 治愈 皮肤病 手足癣 皮肤 传染病 卫生,0
血常规 红细胞,骨折 手术 骨不愈合 皮质 骨片,0
怀孕 感冒,美洛昔康 移植 病人,0
中医 药物 针灸 治疗,患者 肝硬化 患者 蛋白质 蛋白质 患者 口服 消化 吸收 氨基酸 血浆,0
怀孕,斑块 血管 心脏 摄取 血液 胸闷 胸痛 治疗 血管 恢复 治疗 动脉粥样硬化 心脏 美托洛尔 缬沙坦 扩张 冠状动脉 活血化瘀 丹参,0
便秘 胎儿 晚期 妊娠 胎儿 乙状结肠 便秘,治疗 医院 治疗 药物 癫痫 发作 治疗 治愈 癫痫 癫痫 治疗 治疗 患者 治疗 患者 治疗 医院 治疗 人体 神经递质 癫痫 患者 微量元素,0
内分泌 少腹逐瘀丸 桂枝茯苓丸 口服 治疗 淋浴 卫生,脂肪肝 脂肪,0
医院,贫血 营养 营养 蛋白质,0
推拿 按摩 理疗,监护 羊水过少,0
精液 蛋白水解酶 分泌 失调 患者 精液 精子 不育 感染 分泌 精液 医院 检查 诊断 治疗 治疗,精液 蛋白水解酶 分泌 失调 患者 精液 精子 不育 感染 分泌 精液 医院 检查 诊断 治疗 治疗,1
臀位 胎儿 宫腔 骨盆 胎盘 肿瘤 巨大儿 矫正 胎位 剖宫产,口干 体质 中药 治疗,0
检查 发烧,猕猴桃,0
症状 头晕 检查 贫血 血压 血常规 血压,低血压 贫血 症状 医院 血压 检查 血常规 检查 贫血 低血压 头晕 不适 生脉饮 治疗,1
龟头炎 真菌 感染 滴虫 感染 包皮过长 高锰酸钾 口服 药物,月经 月经,0
伤口 缝合,哺乳期 发育,0
怀孕 流产 损伤 流产 宫腔 感染 流产 医院 检查 B超 检查 激素 检查 检查 输卵管 怀孕,流产 妊娠 妊娠 手术 避孕 B超 怀孕 药物 流产 流产 损害 宫腔 流产,1
癫痫 临床 神经 疾病 临床 大脑 慢性 疾病 癫痫 患者 癫痫 癫痫 癫痫 患者 疾病 治疗 癫痫 发作 遗传,便秘 排便 维生素 纤维素 消化,0
流感疫苗 免疫力,月经 月经 排卵,0
胎盘 胎儿,中药 治疗 肉桂,0
慢性胃炎 幽门螺杆菌 感染 感染 治疗 尿素 呼气 感染 治疗 克拉霉素 治疗 尿素 呼气,发育,0
阴道炎 白带 阴道炎 怀孕 症状 消毒 消毒液 细菌 治疗,阴道炎 检查 白带 病因 治疗 阴道炎 药物 治疗 传染 疾病 治疗,1
放射线 放射线,便秘 排便 维生素 纤维素 消化,0
痤疮 检查,中药学 药物 临床 临床 人体,0
耳鸣 神经 西比灵 治疗,胎儿,0
症状 病因 风湿性关节炎 痛风 关节 软骨 疾病 腰椎 疾病 医院 检查 膝关节 化验 病因 治疗,怀孕 过敏 胎儿,0
腰椎 药物 治疗 治疗 手术 治疗,腰椎 治疗 按摩 针灸 理疗 药物 缓解 症状 髓核 复位 骨科 检查 手术 治疗 理疗,1
患者 症状 综合症,怀孕 胎儿 发育,0
支原体 感染 强力霉素 治疗 治疗,支原体 感染 强力霉素 治疗 治疗,1
晚期 症状,泪囊炎 医院 眼科 检查 泪道冲洗 治疗,0
症状 口干 口臭 中药 治疗 栀子 黄芩 连翘 木通,胎儿 检查 胎儿,0
过敏性哮喘 患者 过敏 患者 鼻涕 流泪 症状,坐骨神经痛 病因 椎间盘 缓解 神经根 治疗 髓核 静脉 神经根 软组织 水肿,0
射精 临床,中医 脾虚 胃痛 健脾益气 人参健脾丸,0
高血压 糖尿病 动脉硬化,真菌 感染 真菌 皮肤 皮肤 股癣 达克宁 治疗,0
腰椎 坐骨神经 麻木 症状 医院 骨外科 手术 治疗,腰椎 理疗 手术 治疗 治疗,1
痔疮 便血 症状 槐角丸 痔疮膏 治疗 医院 检查 治疗,痔疮 症状 疼痛 肛门 肿物 出血 肛门 瘙痒 检查 治疗,1
血管瘤 治疗 治疗 皮肤 检查 血管瘤 治疗 治愈 复发 检查 血管瘤 治疗 血管瘤 医院,脾虚 失调,0
足癣 传染 手癣 医院 皮肤科 真菌 检查 特比萘芬 软膏,分娩,0
清开灵 发热 疾病 治疗 中医 药物 发热 体温 恢复,排卵 月经 卵子 卵巢 受精 精子 受精 卵子 排卵 排卵,0
怀孕,腰痛 外伤 肾脏 病变 医院 病因 治疗 按摩 理疗 药物,0
体内 激素 医院 检查,咳嗽 疫苗,0
狂犬疫苗 预防 伤口 伤口 愈合 狂犬 疫苗 接种 皮肤 损伤 狂犬 疫苗 接种 接种 预防 接种 疫苗,心律平,0
人体 直肠 粘膜 肛管 皮肤 静脉丛 扩张 痔疮 医学 痔疮 内痔 外痔 混合痔 肛门 直肠 肛门 粘膜 静脉丛 曲张 慢性 疾病 痔疮 脱出 疼痛 医院 检查 治疗,怀孕,0
复方,狂犬疫苗 预防 伤口 伤口 愈合 狂犬 疫苗 接种 皮肤 损伤 狂犬 疫苗 接种 接种 预防 接种 疫苗,0
空腹 血糖,骨折 手术 骨不愈合 皮质 骨片,0
患者,阴道 月经 月经 月经 营养,0
颈椎病 外感 经络 推拿 治疗 解痉 推拿,颈椎病 神经 治疗 症状,1
痔疮 排便,中医 治疗 桂附地黄丸,0
治疗,羊水 胎儿 缺氧 胎儿 缺氧,0
怀孕 妊娠 胎儿 胎盘 扩张 子宫颈 吸宫术 孕囊 手术 出血 恢复 妊娠 流产 手术 恢复 妊娠 流产 医院,怀孕 流产 医院 检查 B超 宫腔 胎儿 发育 消毒 外阴 妇科 检查 保胎 治疗,1
感冒,检查 血液 检查 贫血 检查 肝脏 胆囊 检查 治疗,0
损伤 恢复,空腹 血糖 监测 空腹 血糖 正常值 妊娠 糖尿病 尿糖 检测 血糖 糖尿病 空腹 血糖 尿糖,0
感冒,症状 痔疮 痔疮 出血 炎症 充血 疼痛 不适 痔疮 便秘 便秘 马应龙痔疮膏,0
脂肪组织 疾病 医院 外科 检查 治疗 脂肪 治疗,怀孕 胎儿,0
月经 月经 感染 月经,慢性病 脑卒中 心力衰竭 慢性肾脏病 并发症 低盐饮食 脂肪 波依定 硝苯地平缓释片 口服 血压,0
高危 羊水 羊水,阳痿 症状 阴茎 阳痿 精神 治疗 恢复 阳痿 患者 疾病 性激素 紊乱 泌尿 生殖 疾患 阳痿 疾病 阳痿 患者 医院 治疗 阳痿 医院 治疗,0
卵巢 激素 激素 避孕药 激素 疗法 后遗症 医院 中医 中药 治疗 恢复,血压 高压 低压,0
胎儿,慢性 前列腺炎 治疗 野菊花栓 治疗 便秘,0
湿疹 慢性 皮肤 病因 复发 皮肤 瘙痒 湿疹 医院 治疗,怀孕 月经 月经 排卵 排卵 月经 月经 怀孕,0
临床 中医 男性性功能障碍 补肾 六味地黄丸,怀孕 怀孕 流产 胎儿,0
中药,检查 羊水 羊水 羊水 羊水 检查 羊水 羊水 羊水,0
支气管炎 呼吸道 感染 医院 检查 口服 抗生素 糖浆 口服 治疗,口服 抗生素 糖浆 口服 治疗 发热 症状 静脉 抗生素,1
医院,羊水 胎儿 缺氧 胎儿 缺氧,0
呼吸,腰椎 检查,0
过敏性哮喘 患者 过敏 患者 鼻涕 流泪 症状,脱发 营养 精神 精神 精神 营养 黑芝麻,0
锁骨 骨折 手术 骨折 错位 临床 患者 骨折 错位 手术 手术 骨折 错位 手术 治疗,便秘 胎儿 晚期 妊娠 胎儿 乙状结肠 便秘,0
症状 手术 治疗,检查 羊水 羊水 羊水 羊水 检查 羊水 羊水 羊水,0
脚汗 白矾 脚汗 强力霉素,脚汗 白矾 脚汗 强力霉素,1
食指 骨折 骨折 夹板 手术 骨折 愈合 医院 治疗 食指 畸形 愈合,疫苗,0
